id,shop,category,sub_category,item_name,price_base,weight,limited_stock,rural,urban,description
44,shop-inntavern,Drinks,Wine,Evermead,11.0,NULL,True,False,True,"This elven mead is always brewed exactly the same and in secret. Every cup of this golden shimmering liquid tastes exactly the same; it is the perfect mix of sweetness, spice, and smoke. Rumor states that the mead is aged for one hundred years before ready for drinking. It is also rumored that elves on every Plane of Existence brew evermead exactly the same.."
45,shop-inntavern,Drinks,Wine,Far Ridge Red,0.1,NULL,False,True,True,This is a sweet dessert wine that is more rose than red colored. This wine claims to use a secret mix of grapes from all over the world. Those with a refined palate say the peculiar taste is just sugar covering up the water.
46,shop-inntavern,Drinks,Wine,Fire Wine,0.1,NULL,False,True,True,This extremely strong and spicy wine is reputed to have medicinal qualities..
47,shop-inntavern,Drinks,Wine,Glowfire,0.2,NULL,False,True,True,This is a pale chartreuse wine with very faint luminescence in darkness. This wine has a strong pear taste.
48,shop-inntavern,Drinks,Wine,Highdusk Dark,1.0,NULL,False,True,True,This sweet spicy wine is almost black in color and has a very high alcohol content..
49,shop-inntavern,Drinks,Wine,Mead Wine,0.1,NULL,False,False,True,Mead is only made with honey and it is easily fouled and hard to make. The price reflects the difficulty making it and it is definitely an acquired taste. Intoxication DC 9.
50,shop-inntavern,Drinks,Wine,Redwood Dry,0.1,NULL,False,True,True,Very dry red fortified wine with a strong wood and berry taste.
51,shop-inntavern,Drinks,Wine,Special Vat,0.2,NULL,False,True,True,"This pale fortified red wine causes the lips and tongue to go slightly numb and tingly. It tastes like grapes, strawberries, and raspberries."
52,shop-inntavern,Drinks,Wine,Table Wine,0.06,NULL,False,True,True,"The only thing fouler than generic watered down table wine, purchased in bulk, are cooking wines. But for those looking for intoxication over cost or taste, table wine will work just fine.."
53,shop-inntavern,Drinks,Wine,Temple-Under-Rock,0.4,NULL,True,False,True,This is a very rare fortified wine on the surface and it is imported from a variety of underdark sources. It is always kept in opaque ceramic vessels as it quickly loses taste and its signature green glow if exposed to any light. This wine is rumored to be made of mushrooms that have never seen daylight.
54,shop-inntavern,Drinks,Wine,Topaz,0.2,NULL,False,True,True,"This is a yellow to amber colored wine, slightly dry and balanced, with a nutty flavor."
55,shop-inntavern,Drinks,Wine,Spiced Wine,0.1,NULL,False,True,True,This is a catch-all label for a wide variety of spiced or mulled wine made by different regions and city-states. The price listed is the average price.
56,shop-inntavern,Drinks,Wine,Westgate Ruby,0.1,NULL,False,True,True,This is a bold crimson wine with a slightly bitter taste and is one of the most commonly found wines considered acceptable to serve to one's guests.
57,shop-inntavern,Drinks,Wine,Winter Wine,0.2,NULL,False,True,True,This fortified wine is usually only available in the summer when the passes to the frigid polar regions are open for trade. This pale purple-blue wine is very strong and very sweet.
58,shop-inntavern,Drinks,Liquor,Absinthe,2.0,NULL,True,False,True,"A licorice flavored liquor, with a clear green tint. To serve correctly, the bartender places a spoon over a filled glass of absinthe, with the sugar cube on it, underneath one of the taps on the fountain. Water slowly drips onto the sugar until it has dissolved."
59,shop-inntavern,Drinks,Liquor,Cherry Fire,0.2,NULL,False,True,True,"A cherry liquor with a strong, spicy kick."
60,shop-inntavern,Drinks,Liquor,Death Wish,1.0,NULL,False,True,True,This liquor is pale yellow and is always served with a mouse skull. It smells of sunflower oil.
61,shop-inntavern,Drinks,Liquor,Elquestria,3.0,NULL,False,True,True,This is the generic name given to elven liquors that are made for export by non-elven distributors. These weak liquors vary per region but most are gins that smell like a forest after a heavy rain.
62,shop-inntavern,Drinks,Liquor,Elverquis,56.0,NULL,True,False,False,This rare and expensive liquor is said to be distilled from sunlight and rare berries. This drink is often used sparingly in various elven rituals and is rarely exported. It is always stored in glass bottle/jug..
63,shop-inntavern,Drinks,Liquor,Fireball,1.0,NULL,False,False,True,This is a cinnamon schnapps that is hard to get used to. It was originally marketed for spellcasters to drink but it never really caught on. Its sits on most bar shelves as a gimmick more than anything else.
64,shop-inntavern,Drinks,Liquor,Flindmaker,1.0,NULL,True,True,True,"This clear liquor smells vaguely of rotten eggs and was originally made by gnolls. Certain barbarian tribes and hill giant clans began to drink it as a right of passage. It has gained prominence as the drink to start a celebration, ""because everything else will taste better."""
65,shop-inntavern,Drinks,Liquor,Hog Piss,0.02,NULL,False,True,True,"This eloquently named swill is one of the cheapest liquors known. It tastes terrible, causes horrendous hangovers, and is very widely distributed or made ""out back."""
66,shop-inntavern,Drinks,Liquor,Kumis,0.4,NULL,False,True,True,"This is fermented horse milk. It isn’t terribly rare but is not purchased very often outside of certain regions. The taste of this weak liquor is very ""acquired."""
67,shop-inntavern,Drinks,Liquor,Seawine,0.2,NULL,True,True,False,This potent grain alcohol is not wine and not made from grapes. It is similar to a very potent grain alcohol distilled from starches found in saltwater swamps and coastal regions. The taste is said to be rather terrible but seawine is not drunk for its taste; it is drunk for its incredible potency. This stuff is very flammable.
68,shop-inntavern,Drinks,Liquor,Shasta,0.2,NULL,True,False,True,"This is a cheap sake that is not distilled but brewed. Grain alcohol and other extracts have been added to it to the point where it is barely sake anymore. This is what a merchant might drink when pretending to have taste. If nothing else, shasta is very potent.."
69,shop-inntavern,Drinks,Liquor,Vodka,1.0,NULL,True,True,True,"A clear liquor, traditionally made by distilling the liquid from cereal grains that have been fermented. Rarer vodka uses potatoes or fruits as the base. The price listed is for medium quality vodka. The very best vodka can cost 20 times as much."
70,shop-inntavern,Drinks,Liquor,White Eye Whiskey,3.0,NULL,True,False,True,"This whiskey has recently hit the market and is stamped with a large blind eye. The literature says it's brewed by the famous pirate, White Eye, who no one has ever heard of. But one thing is for certain; this perfectly aged and smokey whiskey is one of the best whiskeys being made now: at this price it should be."
71,shop-inntavern,Drinks,Liquor,Zzar,1.5,NULL,False,True,True,This is technically a heavily fortified sherry wine. It is said to taste better in salty air and has become the liquor of choice among sea pirates and merchants..
72,shop-inntavern,Drinks,Ale,Bitter Black,0.09,NULL,False,True,True,"1 mug. This is a very dark stout exported from Arabel, a fortified city in northern Cormyr (Faerun). This heavy beer tasted best when served at cellar temperatures. Arabellans looked down upon anyone drinking it at a different temperature. Bitter Black had a dark black color with a thick head of deep brown foam.."
73,shop-inntavern,Drinks,Ale,Bleak Stout,0.1,NULL,False,True,True,1 mug. This dark brown stout has almost double the normal alcohol level and its taste is very bitter with a strong chocolate aftertaste..
74,shop-inntavern,Drinks,Ale,Dragon's Breath,0.02,NULL,False,True,True,"1 mug. This is a bitter dark beer known for its foul smell. It has a strong harsh flavor, and is best served with dark rye bread and cheese. It is exported from Sembia (located on the north-western coast of the Sea of Fallen Stars in central Faerûn).."
75,shop-inntavern,Drinks,Ale,Goblin Piss,0.01,NULL,True,True,False,"Goblins call this terrible liquid ""boblin,"" while other humanoids call it, ""goblin piss."" This substance is only not poisonous because of the amount of water in it.."
76,shop-inntavern,Drinks,Ale,Golden Sands Ale,0.03,NULL,False,True,True,"Golden sands ale comes in basic, gold, and orange flavors. The prices are the same for both ales."
77,shop-inntavern,Drinks,Ale,Halfling's Best,0.1,NULL,False,True,True,"This beer is as black as ink, but sweet"
78,shop-inntavern,Drinks,Ale,North Brew,0.01,NULL,False,True,True,This dark amber beer is one of the cheapest beers that won’t poison you.
79,shop-inntavern,Drinks,Ale,Old One Eye,0.03,NULL,False,True,True,This lager has a red color and it is rumored to be brewed with hot peppers.
80,shop-inntavern,Drinks,Ale,Purple Noble,0.2,NULL,True,False,True,This ale is crystal clear and filled with hidden flavors that are changed annually. The wealthy brag about being able to discern the year based on what tastes are included. This ale is mostly a status symbol. The ale has no purple coloration and the origin of its name is included in at least forty different and contradictory ballads.
81,shop-inntavern,Drinks,Ale,Shadowdark Ale,0.04,NULL,False,True,True,This ale is frothy and brown.
82,shop-inntavern,Drinks,Ale,Wizard's Choice,0.04,NULL,True,False,True,This is a yeasty red beer..
83,shop-inntavern,Drinks,Ale,Hill Cider,0.1,NULL,False,False,True,This cider is fermented with a secret mix of fruits and apples and has a dark orange color. This cider is as alcoholic as a strong wine..
84,shop-inntavern,Drinks,Ale,Knee Cracker Cider,0.01,NULL,False,True,True,"This is the most readily available cider. It is cheap, gritty, and inconsistent in flavor."
85,shop-inntavern,Drinks,Ale,Troll Pear Cider,0.2,NULL,True,False,True,"This pear cider is as exclusive as it is flavorful. What a pear has to do with a troll is not explained but the marketing has caught on. For those who can afford it, this is the finest cider to be found."
86,shop-inntavern,Drinks,Ale,Vilhoun Cider,0.1,NULL,False,True,True,This cider is known for its strong cherry flavor and its smoothness. It is usually served piping hot. Common in cold climates.
87,shop-inntavern,"Food, Drink & Lodging",Inn stay (per day),"Stay, Squalid Inn",0.07,NULL,True,False,False,NULL
88,shop-inntavern,"Food, Drink & Lodging",Inn stay (per day),"Stay, Poor Inn",0.1,NULL,True,True,True,NULL
89,shop-inntavern,"Food, Drink & Lodging",Inn stay (per day),"Stay, Modest Inn",0.5,NULL,True,True,True,NULL
90,shop-inntavern,"Food, Drink & Lodging",Inn stay (per day),"Stay, Comfortable Inn",0.8,NULL,True,True,True,NULL
91,shop-inntavern,"Food, Drink & Lodging",Inn stay (per day),"Stay, Wealthy Inn",2.0,NULL,True,False,True,NULL
92,shop-inntavern,"Food, Drink & Lodging",Inn stay (per day),"Stay, Aristocratic Inn",4.0,NULL,True,False,False,NULL
