id,item_name,description,category,sub-category,price,weight
42,Trident,"A trident (also called a leister or gig), is a three-pronged spear. Proficiency with a trident allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,5.0,1.81
43,War Pick,"A war pick, also called a horseman's pick, consists of a long shaft, often wood, topped with a small hammer's head with a very long spike on the reverse side. Usually, this spike was slightly curved downwards, much like a miner's pickaxe. Proficiency with a war pick allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,5.0,0.91
44,Warhammer,"A war hammer consists of a handle and a heavy iron head with a hammer in front, and a spike on the other side. Proficiency with a warhammer allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,15.0,0.91
45,Whip,A strip of leather or length of cord fastened to a handle. Proficiency with a whip allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Melee Weapons,2.0,1.36
46,Blowgun,A blowgun is a simple ranged weapon consisting of a long narrow tube for shooting light projectiles such as small darts. Proficiency with a blowgun allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Ranged Weapons,10.0,0.45
47,Hand Crossbow,"A small, light ranged weapon, typically mounted on the back of one's forearm, that uses an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a hand crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Ranged Weapons,75.0,1.36
48,Heavy Crossbow,A heavy ranged weapon using an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a heavy crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Ranged Weapons,50.0,8.16
49,Longbow,A tall bow â€“ roughly equal to the height of the user â€“ allowing the archer a fairly long draw. Its limbs are relatively narrow and are circular or D-shaped in cross section. Proficiency with a longbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Ranged Weapons,50.0,0.91
50,Net,"A net usually has lead weights around the edges, and is often attached to a fighter's wrist by means of a rope. It is used to entangle opponents. Proficiency with a net allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Ranged Weapons,1.0,1.36
51,Abacus,A standard tool used to make calculations.,Adventuring Gear,default,2.0,0.91
52,Acid (vial),"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.",Adventuring Gear,default,25.0,0.45
53,Alchemist's Fire (flask),"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",Adventuring Gear,default,50.0,0.45
54,Arrows,"20 arrows. Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",Adventuring Gear,Ammunition,1.0,0.45
55,Blowgun Needles (50),"Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",Adventuring Gear,Ammunition,1.0,0.45
56,Crossbow Bolts,"20 crossbow bolts. Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",Adventuring Gear,Ammunition,1.0,0.68
57,Sling Bullets (20),"Sling bullets are used with a sling to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",Adventuring Gear,Ammunition,0.04,0.68
58,Antitoxin (vial),A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.,Adventuring Gear,default,50.0,NULL
59,Crystal,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane Focus,10.0,0.45
60,Orb,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane Focus,20.0,1.36
61,Rod,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane Focus,10.0,0.91
62,Staff,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane Focus,5.0,1.81
63,Wand,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane Focus,10.0,0.45
64,Backpack,"A backpack is a leather pack carried on the back, typically with straps to secure it. A backpack can hold 1 cubic foot/ 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack.",Adventuring Gear,default,2.0,2.27
65,"Ball Bearings (bag of 1,000)","As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the save.",Adventuring Gear,default,1.0,0.91
66,Barrel,"A barrel can hold 40 gallons of liquid, or 4 cubic feet of solid material.",Adventuring Gear,default,2.0,31.75
67,Basket,A basket can hold 2 cubic feet/40 pounds of gear.,Adventuring Gear,default,0.4,0.91
68,Bedroll,"You never know where youâ€™re going to sleep, and a bedroll helps you get better sleep in a hayloft or on the cold ground. A bedroll consists of bedding and a blanket thin enough to be rolled up and tied. In an emergency, it can double as a stretcher.",Adventuring Gear,default,1.0,3.18
69,Bell,"A standard bell that rings, typically used for signaling.",Adventuring Gear,default,1.0,NULL
70,Blanket,"A thick, quilted, blanket made to keep you warm in cold weather.",Adventuring Gear,default,0.5,1.36
71,Block and Tackle,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.",Adventuring Gear,default,1.0,2.27
72,Book,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook.",Adventuring Gear,default,25.0,2.27
73,"Bottle, glass",A bottle can hold 1 1/2 pints of liquid.,Adventuring Gear,default,2.0,0.91
74,Bucket,"A bucket can hold 3 gallons of liquid, or 1/2 cubic foot of solid material.",Adventuring Gear,default,0.05,0.91
75,Caltrops (bag of 20),"As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage. Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point. A creature moving through the area at half speed doesn't need to make the save.",Adventuring Gear,default,1.0,0.91
76,Candle,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",Adventuring Gear,default,0.01,NULL
77,"Case, Crossbow Bolt",This wooden case can hold up to twenty crossbow bolts.,Adventuring Gear,default,1.0,0.45
78,"Case, Map or Scroll",This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.,Adventuring Gear,default,1.0,0.45
79,Chain (10 feet),A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.,Adventuring Gear,default,5.0,4.54
80,Chalk (1 piece),A piece of chalk used for writing and marking on various surfaces.,Adventuring Gear,default,0.01,NULL
81,Chest,A chest can hold 12 cubic feet/ 300 pounds of gear.,Adventuring Gear,default,5.0,11.34
82,Climber's Kit,"The use of a Climberâ€™s Kit allows a creature to easily scale cliffs, castle walls, and more, as well as helping you not fall to your death if you do slip.",Adventuring Gear,default,25.0,5.44
83,"Clothes, Common","This set of clothes could consist of a loose shirt and baggy breeches, or a loose shirt and skirt or overdress. Cloth wrappings are used for shoes.",Adventuring Gear,default,0.5,1.36
84,"Clothes, Costume","This set of clothes is fashioned after a particular costume, typically meant for entertaining.",Adventuring Gear,default,5.0,1.81
85,"Clothes, Fine","This set of clothes is designed specifically to be expensive and to show it, including fancy, tailored clothes in whatever fashion happens to be the current style in the courts of the nobles. Precious metals and gems could be worked into the clothing.",Adventuring Gear,default,15.0,2.72
86,"Clothes, Traveler's","This set of clothes could consist of boots, a wool skirt or breeches, a sturdy belt, a shirt (perhaps with a vest or jacket), and an ample cloak with a hood.",Adventuring Gear,default,2.0,1.81
87,Component Pouch,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).",Adventuring Gear,default,25.0,0.91
88,Crowbar,Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.,Adventuring Gear,default,2.0,2.27
89,Sprig of Mistletoe,A druid can use a Sprig of Mistletoe (or holly) as a spellcasting focus.,Adventuring Gear,Druidic Focus,1.0,NULL
90,Totem,A druid can use a Totem as a spellcasting focus.,Adventuring Gear,Druidic Focus,1.0,NULL
91,Wooden Staff,A druid can use a Wooden Staff as a spellcasting focus.,Adventuring Gear,Druidic Focus,5.0,1.81
92,Yew Wand,A druid can use a Yew Wand as a spellcasting focus.,Adventuring Gear,Druidic Focus,10.0,0.45
93,Fishing Tackle,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting.",Adventuring Gear,default,1.0,1.81
94,Flask or Tankard,A flask or tankard can hold 1 pint of liquid.,Adventuring Gear,default,0.02,0.45
95,Grappling Hook,"When tied to the end of a rope, a grappling hook can secure the rope to a battlement, window ledge, tree limb, or other protrusion.",Adventuring Gear,default,2.0,1.81
96,Hammer,This one-handed hammer with an iron head is useful for pounding pitons into a wall.,Adventuring Gear,default,1.0,1.36
97,"Hammer, Sledge","This two-handed, iron-headed hammer is good for smashing open treasure chests.",Adventuring Gear,default,2.0,4.54
98,Healer's Kit,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",Adventuring Gear,default,5.0,1.36
99,Amulet,"A holy symbol is a representation of a god or pantheon. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",Adventuring Gear,Holy Symbol,5.0,0.45
100,Emblem,"A holy symbol is a representation of a god or pantheon. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",Adventuring Gear,Holy Symbol,5.0,NULL
101,Reliquary,"A holy symbol is a representation of a god or pantheon. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",Adventuring Gear,Holy Symbol,5.0,0.91
102,Holy Water (flask),"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.",Adventuring Gear,default,25.0,0.45
103,Hourglass,A standard hourglass used to measure the passage of time.,Adventuring Gear,default,25.0,0.45
104,Hunting Trap,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.",Adventuring Gear,default,5.0,11.34
105,Ink (1 ounce bottle),Ink is typically used with an ink pen to write.,Adventuring Gear,default,10.0,NULL
106,Ink Pen,An ink pen is a wooden stick with a special tip on the end. It can also be a feathered quill with a sharpened tip. The tip draws ink in when dipped in a vial and leaves an ink trail when drawn across a surface.,Adventuring Gear,default,0.02,NULL
107,Jug or Pitcher,A jug or pitcher can hold 1 gallon of liquid.,Adventuring Gear,default,0.02,1.81
108,Ladder (10 foot),"This item is a straight, simple wooden ladder.",Adventuring Gear,default,0.1,11.34
109,Lamp,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Adventuring Gear,default,0.5,0.45
110,"Lantern, Bullseye","A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Adventuring Gear,default,10.0,0.91
111,"Lantern, Hooded","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",Adventuring Gear,default,5.0,0.91
112,Lock,"A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices.",Adventuring Gear,default,10.0,0.45
113,Magnifying Glass,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed.",Adventuring Gear,default,100.0,NULL
114,Manacles,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points.",Adventuring Gear,default,2.0,2.72
115,Mess Kit,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.",Adventuring Gear,default,0.2,0.45
116,"Mirror, Steel","A steel mirror is handy when you want to look around corners, signal friends with reflected sunlight, keep an eye on a medusa, make sure that you look good enough to present yourself to the queen, or examine wounds that youâ€™ve received on hard-to-see parts of your body.",Adventuring Gear,default,5.0,0.23
117,Oil (flask),"Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",Adventuring Gear,default,0.1,0.45
118,Paper (one sheet),A sheet of standard paper is made from cloth fibers.,Adventuring Gear,default,0.2,NULL
119,Parchment (one sheet),A sheet of parchment is a piece of goat hide or sheepskin that has been prepared for writing on.,Adventuring Gear,default,0.1,NULL
120,Perfume (vial),A fragrant commodity typically used by the wealthy.,Adventuring Gear,default,5.0,NULL
121,"Pick, Miner's",A miner's pick is designed to concentrate the force of its blow on a small area.,Adventuring Gear,default,2.0,4.54
122,Piton,"When a wall doesnâ€™t offer handholds and footholds, you can make your own. A piton is a steel spike with an eye through which you can loop a rope.",Adventuring Gear,default,0.05,0.11
123,"Poison, Basic (vial)","You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.",Poison,default,100.0,NULL
124,Pole (10-foot),"When you suspect a trap, you can put the end of your 10-foot pole through that hole in the wall instead of reaching in with your hand.",Adventuring Gear,default,0.05,3.18
125,"Pot, Iron",An iron pot can hold 1 gallon of liquid.,Adventuring Gear,default,2.0,4.54
126,Potion of Healing,A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action.,Adventuring Gear,default,50.0,0.23
127,Pouch,"A cloth or leather pouch can hold 1/5 cubic foot/ 6 pounds of gear - or up to 20 sling bullets or 50 blowgun needles, among other things. Note: This is different from a- which is a compartmentalized pouch for holding spell components.",Adventuring Gear,default,0.5,0.45
128,Quiver,A quiver can hold up to 20 arrows.,Adventuring Gear,default,1.0,0.45
129,"Ram, Portable","You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check.",Adventuring Gear,default,4.0,15.88
130,Rations (1 day),"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts.",Adventuring Gear,default,0.5,0.91
131,Robes,A standard set of robes.,Adventuring Gear,default,1.0,1.81
132,"Rope, Hempen (50 feet)","Rope, has 2 hit points and can be burst with a DC 17 Strength check.",Adventuring Gear,default,1.0,4.54
133,"Rope, Silk (50 feet)","Rope, has 2 hit points and can be burst with a DC 17 Strength check.",Adventuring Gear,default,10.0,2.27
134,Sack,A sack can hold 1 cubic foot/ 30 pounds of gear.,Adventuring Gear,default,0.01,0.23
135,"Scale, Merchant's","A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth.",Adventuring Gear,default,5.0,1.36
136,Sealing Wax,"When you press a signet ring into warm sealing wax, you leave an identifying mark.",Adventuring Gear,default,0.5,NULL
137,Shovel,A standard shovel used for digging.,Adventuring Gear,default,2.0,2.27
138,Signal Whistle,A small whistle used for signaling.,Adventuring Gear,default,0.05,NULL
139,Signet Ring,"Each signet ring has a distinctive design carved into it. When you press this ring into warm sealing wax, you leave an identifying mark.",Adventuring Gear,default,5.0,NULL
140,Soap,A commodity used for bathing.,Adventuring Gear,default,0.02,NULL
141,Spellbook,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells.",Adventuring Gear,default,50.0,1.36
142,"Spikes, Iron (10)",Standard iron spikes typically used with a hammer.,Adventuring Gear,default,1.0,2.27
143,Spyglass,Objects viewed through a spyglass are magnified to twice their size.,Adventuring Gear,default,1000.0,0.45
144,"Tent, Two-Person","A simple and portable canvas shelter, a tent sleeps two.",Adventuring Gear,default,2.0,9.07
